1,Visita museo,04/03/2005,02/13/2016,terminado,1
2,Visita parque,04/12/2006,04/12/2016,terminado,2
3,Visita restaurante,04/03/2007,06/12/2016,terminado,3
4,Visita museo,04/03/2008,08/12/2016,terminado,4
5,Visita restaurante,04/03/2009,10/12/2016,terminado,5
6,Visita museo,04/03/2010,12/12/2016,terminado,6
7,Visita restaurante,04/03/2011,14/12/2016,terminado,7
8,Visita parque,04/03/2012,15/12/2016,terminado,8
9,Visita museo,04/03/2013,17/12/2016,terminado,9
10,Visita parque,04/03/2014,19/12/2016,terminado,10
